,Polarity,Tweet,Tweet_final_sent_lexicons
794864,1,"@amirahamir @maylee_  I need new music! If there is some good music out there thats on your favs which I have no idea about, pls tweet me ",MENTION MENTION need new music good music thats favs not NEG_idea NEG_about pls POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
152818,1,@mzdiva02 if you like 2 laugh..have a good time..follow me..its just that simple ,MENTION like laugh good time follow simple POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
786624,0,"One final bounce and goodbye to Jon and Tory, then back home ",one final bounce goodbye jon tory back home NEGATIVE NEGATIVE NEGATIVE NEGATIVE
584855,1,"hey guys this is @theofficialemma and I just wanted to say sorry , my brother changed the password bye guys love you all  - good night  xD",hey guys MENTION wanted say sorry brother changed password bye guys love good night EMOJI POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
425563,1,goodmorning ,goodmorning POSITIVE POSITIVE
192259,0,"#followfriday @DanielBettridge @feelgoodguru @katiedidwhat (sorry, forgot u 2 earlier  ) @rachelcw @coachkiki @ODannyGirl7 @timeril",HASHTAG followfriday MENTION MENTION MENTION sorry forgot earlier MENTION MENTION MENTION MENTION POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
482997,1,when the qirls come out and play  #goodsex,WEBSITE play HASHTAG goodsex
197300,0,goodmorning twitter world. still sick  i probably won't tweet that much today...,goodmorning twitter world still sick probably wo not NEG_tweet NEG_that much today POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
38432,1,"@dougiemcfly Ooh, good name for a penis! ",MENTION good name penis POSITIVE POSITIVE POSITIVE POSITIVE
534244,0,@MissJo_Jo I'm good just trying to figure out why my phone isn't receiving txt messages. ,MENTION good trying figure phone not NEG_receiving NEG_txt messages POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
192489,0,@MikeMilan215 aww u stole my follower  she has a good personailty lmao,MENTION aww stole follower good personailty lmao POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
487002,0,Time to say you good bye ,time say good bye POSITIVE POSITIVE POSITIVE POSITIVE
321867,1,@theteganandsara good to see you have twitter ,MENTION good see twitter POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
21771,1,@imalexevans good luck on your oral presentation. And it helps when you use the word &quot;like.&quot; jk. ,MENTION good luck oral presentation helps use word like jk POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
760141,1,@aShLeYmeltjonas goodnight! think of LVATT!! ,MENTION goodnight think lvatt POSITIVE POSITIVE
561593,0,"@BTCare Thank U for the link, so not much then For Sci-fi Fans then Just a few good Films and a load of Kids show's tho ",MENTION thank link not NEG_much NEG_then scifi fans good films load kids show tho POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
127269,1,@KinitaA yeah they keep me busy lol! But they are fun so its all good ,MENTION yeah keep busy laugh fun good POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
608490,1,"the good thing about it is, it's made from ALL recycled pieces &amp; cost us nothing  (mostly junk from the farm) I'll post a picture someday.",good thing made recycled pieces cost us nothing mostly junk farm post picture someday POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
194878,1,@rosyblue hey friend. how are you this morning? Im so good. Husband is back sun is shining and it isnt 948290 degrees outside yet ,MENTION hey friend morning good husband back sun shining isnt degrees outside yet POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
500055,0,"I got home from Volleyball and watched David Cook on Larry King Live. Really sad  but good, especially when he talked about Archie!!",got home volleyball watched david cook larry king live really sad good especially talked archie POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
715745,0,*YAWN* good morning! its sundaaaay! the last day of weekend  [gotta finish all the homeworks!],yawn good morning sundaay last weekend gotta finish homeworks POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
108341,0,"Although a lot of &quot;good things&quot;&amp;sweet ppl this week,I still feel like it was be inconsiderate to Tess &amp; let her pick up all my shit week. ",although lot good things sweet weeki still feel like inconsiderate tess let pick shit week POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
233920,0,"@rogueanomaly - yup, on my writing hand! Not good. Ooh yeah paper cuts hurt loads as well ",MENTION yup writing hand not NEG_good NEG_yeah paper cuts hurt loads well POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
151202,1,@xedian1727 now im starting hot shots part deux...just as good and hysterical ,MENTION starting hot shots part deux good hysterical POSITIVE POSITIVE
97706,1,@ctham ROFL Well it was a good suggestion wot. ,MENTION rofl well good suggestion wot POSITIVE POSITIVE POSITIVE POSITIVE
571584,1,says good morning to y'all..  walang pasok tin? http://plurk.com/p/yrqvb,says good morning walang pasok tin URL POSITIVE NEGATIVE POSITIVE NEGATIVE
624477,1,"@tommcfly no listen this girl, mcfly is very good, and jonas brothers can't be better than mcfly ! ",MENTION not NEG_listen NEG_this girl mcfly good jonas brothers ca not better mcfly POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
326020,1,Having waaay too much good convo with @ToughLove87!!! ,waay much good convo MENTION POSITIVE NEGATIVE POSITIVE NEGATIVE
261581,1,@colleenrt Life is good - especially on a Friday. The kids are growing like weeds and bring lots of smiles. ,MENTION life good especially friday kids growing like weeds bring lots smiles POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
431230,0,doesnt feel good...sore throat and my ear hurts  WTF,not NEG_feel NEG_good sore throat ear hurts wtf NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
26707,0,@melody good morning melody! Its a curse that I have...AND. Partly to my rooster friends I'm up so early ,MENTION good morning melody curse partly rooster friends early POSITIVE NEGATIVE POSITIVE NEGATIVE
684263,1,@ridhi_07 Belated Happy bday.....have good times ,MENTION belated happy bday good times POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
543489,1,happy  really good night,happy really good night POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
78789,0,"*rats* my tele lens is too heavy for the tripod, the camera will &quot;fall forward&quot;. Can't take a good close-up photo of the moon ",rats tele lens heavy tripod camera fall forward ca not NEG_take NEG_good closeup photo moon POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
138441,1,"@shiraz16 may g-d help you, indeed! good luck! ill cross my fingers for you! ",MENTION may gd help indeed good luck ill cross fingers POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
162638,1,"@ahosgood nothing major, just a portfolio design with some nifty custom jQuery (sliders and such-like) that I hope to sell on ThemeForest ",MENTION nothing major portfolio design nifty custom jquery sliders suchlike hope sell themeforest NEGATIVE NEGATIVE NEGATIVE NEGATIVE
329921,1,"he said, &quot;good night, have a nice dream, love you dd&quot; then i said, &quot;i love you too kk&quot; ",said good night nice dream love said love POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
295718,0,Awesome evening planned w/my favorite guy. Gym first tho. Life is good. If I could just get rid of this writer's block... ,awesome evening planned wmy favorite guy gym first tho life good could rid writer block POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
561807,1,"i love the mario cart love song  and tryannosauruslexx, soo a good combination for me ",love mario cart love song tryannosauruslexx soo WEBSITE bination POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
232913,1,@laurenmichaels I love the bubbles! Not the prettiest picture but the bubbles are good ,MENTION love bubbles not NEG_the NEG_prettiest picture bubbles good POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
649061,0,LMAOOO studying Shakespeare brings back good memories from English class..if only I hadn't let time pass me by since then! ,lmaoo studying shakespeare brings back good memories english class not NEG_let NEG_time pass since POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
651326,1,"feeling bored, but still in da good mood ",feeling bored still da good mood POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
332606,0,".@Jasperblu I so feel your pain. &quot;knowing&quot; doesn't always help, once had kids that dribbled basketball  Maybe assume toddlers? Kids=good",MENTION feel pain knowing not NEG_always NEG_help kids dribbled basketball maybe assume toddlers kidsgood POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
640301,0,"@pikestaff *hug* I'm never quite as good with combat as I am with mut, even counting my awesome swords of pwnage. ",MENTION hug never quite good WEBSITE bat mut even counting awesome swords pwnage POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
755926,1,@LoserfaceLucy yeh thanks just listened there good  thankyou for the tip ,MENTION yeh thanks listened good thankyou tip POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
374448,0," not good, not good.",not NEG_good NEG_not good POSITIVE NEGATIVE POSITIVE NEGATIVE
766893,1,Going to bed after a good night ,going bed good night POSITIVE POSITIVE POSITIVE POSITIVE
461730,0,"Opened up the pool, got a sunburn, had a pedicure, and watched The Mighty Boosh. I'll say that was a good day! Oh, aside from the sunburn ",opened pool got sunburn pedicure watched mighty boosh say good oh aside sunburn POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
433758,1,@lessthanthreeme the good news: the school related bullshit ends eventually. The bad news: bullshit never ends. ,MENTION good news school related bullshit ends eventually bad news bullshit never ends POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
512368,0,sleepless night.  i need a good book. nothing appeals right now.,sleepless night need good book nothing appeals right POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
680334,1,"@PornoDan  I mean, it's no &quot;Suck Off Races&quot; or anything, but still, should be pretty good.",MENTION mean not NEG_suck NEG_off races anything still pretty good POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
390532,1,"@MollieOfficial your gonna be amazing  good luck! seeing you on the 6th july in nottingham, cant wait! xxx",MENTION gonna amazing good luck seeing th july nottingham not NEG_wait POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
572209,1,@kenogreen be easy shawty. good isht ,MENTION easy shawty good isht POSITIVE POSITIVE POSITIVE POSITIVE
28535,1,@trent_reznor thank you for sharing something so good. They're in my list now. ,MENTION thank sharing something good list POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
399318,1,@ruthseeley No apologies needed. It was a &quot;good&quot; nudge and well deserved ,MENTION not NEG_apologies NEG_needed good nudge well deserved POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
684229,1,"@Jonnoiiii Good, i liked the good 'ol days ",MENTION good liked good ol days POSITIVE POSITIVE
727607,1,Tomorrow should be a good day! All smiles ,tomorrow good smiles POSITIVE POSITIVE POSITIVE POSITIVE
249892,0,Why do people have to lie??. Iam not in a good mood. ,people lie iam not NEG_in NEG_good mood NEGATIVE NEGATIVE
414510,1,@scottgould I can't believe it's June either! Week ahead looks good though ,MENTION ca not NEG_believe NEG_it june either week ahead laaughks good though POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
47474,1,WEll i had a very good sewing day today...lotsa goodies up soon on website ,well good sewing today lotsa goodies soon website POSITIVE POSITIVE POSITIVE POSITIVE
21369,1,"Back from holiday with @AnushkaChoolun, was good ",back holiday MENTION good POSITIVE POSITIVE
267248,1,"@amyhaggerston yeah apart from me getting like food poisoning, good day. ",MENTION yeah apart getting like food poisoning good POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
630513,1,"Damn, Matchbook Twenty so good. ",damn matchbook twenty good POSITIVE NEGATIVE POSITIVE NEGATIVE
165875,1,"watched underworld: rise of the lycans...  good movie, lot's of action       gonna get some tea now:p",watched underworld rise lycans good movie lot action gonna tea nowp POSITIVE POSITIVE POSITIVE POSITIVE
122573,1,"happy mother's day!  breakfast in bed, book of coupons from the elder, gorgeous day.  good times.  now for that long run ",happy mother breakfast bed book coupons elder gorgeous good times long run POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
531638,1,@yaygeorge Ou! mayawest cool! pues have fun mijo! enjoy the ride take good music with you ,MENTION ou mayawest cool pues fun mijo enjoy ride take good music POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
348033,1,"wow nothing like some penguins and some wings beating up on each other! good hockey, sad outcome, they'll get them tomorrow ",wow nothing like penguins wings beating good hockey sad WEBSITE tomorrow POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
8169,0,Home sick....not feeling good at all....I feel like I am coughing out my lungs!!!!....And I don't smoke.... ,home sick not NEG_feeling NEG_good feel like coughing lungs not smoke NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
618920,1,Headed to church...great day but the mosquitos got me good. Trying not to itch ,headed church great mosquitos got good trying not NEG_to NEG_itch POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
787196,0,"Holy crap, I have a mosquito bite in (one of) the worlds worst spot(s)!!! This is absolutely no good, folks. Going to make sittin a pain ",holy crap mosquito bite one worlds worst spots absolutely not NEG_good NEG_folks going make sittin pain NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
523639,1,History over. Shit I didn't finish :O But hopefully I got some good marks in what I did  My wrist f**king hurts!,history shit not NEG_finish NEG_EMOJI hopefully got good marks wrist fking hurts POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
587176,1,"is going to watch terminator tonight.....anyone seen it? hope its good, but then again it has christian bale in it, of course it will be ",going watch terminator tonight anyone seen hope good christian bale course POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
444893,0,"i wish everyone a good night, i am so tired ",wish everyone good night tired POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
595476,1,@challies  Assuming is seldom a good idea ,MENTION assuming seldom good idea POSITIVE POSITIVE
271663,1,actually had a good day today ,actually good today POSITIVE POSITIVE POSITIVE POSITIVE
358209,0,I really really do not care anymore... Urgh. A good day just turned really really bad ,really really not NEG_care NEG_anymore urgh good turned really really bad POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
295508,0,@spaulds1 oh good. Do hope he feels better soon..... Colds r no fun ,MENTION oh good hope feels better soon colds not NEG_fun POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
590160,1,"@evettevictoria ohh its all good, this time i'll pass on you! ",MENTION ohh good time pass POSITIVE POSITIVE POSITIVE POSITIVE
568146,1,"@edferrars Thanks, Ed. That's very sweet of you.   I never got loaded though but had good company and good conversation this evening. ",MENTION thanks ed sweet never got loaded though WEBSITE pany good conversation evening POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
71951,1,@bilerico  Thanks 4 DM and yes I chose right acct.   &quot;Chatty&quot; is good.,MENTION thanks yes chose right acct chatty good POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
523126,0,"Okay, not a good sign. 11 weeks of freedom- first day in and I'm a little bit bored. But I don't want to waste this glorious weather! ",okay not NEG_good NEG_sign weeks freedom first little bit bored not want waste glorious weather POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
30444,0,"Monday morning, loads of things to do at and after work  not a good start to the week....I need to relax more and take things as they come",monday morning loads things work not NEG_good NEG_start week need relax take things WEBSITE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
668321,1,"Watching the Grand Prix. Takes ages to get into the programme, but it's good ",watching grand prix takes ages programme good POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
17797,1,@caldjr oh dear not good on a saturday. hope you njoy your dinner and then have a relaxing evening ,MENTION oh dear not NEG_good NEG_on saturday hope njoy dinner relaxing evening POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
104279,1,@morganmg starbucks? I thought u were trying to b good?! ,MENTION starbucks thought trying good POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
448323,0,"Molly's grad party, long boring driveee without good music ",molly grad party long boring drivee without good music POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
768355,1,@richardbair Good to see you on twitter telling us about your JavaFX dreams. You'll fit in real good around here ,MENTION good see twitter telling us javafx dreams fit real good around POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
303269,0,"climbing in bed, reading Breaking Dawn, and going to sleep. back to work tomorrow. boo  goodnight!",climbing bed reading breaking dawn going sleep back work tomorrow boo goodnight POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
45265,0,"Omg I ate something that did me noo good, I'm sick in bed my tummy hurts soo much ",omg ate something noo good sick bed tummy hurts soo much POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
416472,1,"@kbranch I will be deleting these..  luv you. this is what I do.. make it work... 19 days, my venue.... fire last night. good times.",MENTION deleting love make work days venue fire last night good times POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
206424,1,@TwiObsession Take good care and have a good night! Dream sweet dreams of Twilight and Rob  *hugs*,MENTION take good care good night dream sweet dreams twilight rob hugs POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
588951,1,@goodtea Found you through @MrTweet.  TEA &amp; SF  what a cute combination ,MENTION found MENTION tea sf WEBSITE bination
693501,0,@Sadie Asks good morning sunshine...sounds like had a rough nite...i sorry  u at marina 2day?,MENTION asks good morning sunshine sounds like rough nite sorry marina POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
510733,0,"Oh my goodness, the WWECD craze has actually made its way into the Urban Dictionary. Alas  http://tinyurl.com/ls8rhd",oh goodness ecd craze actually made way urban dictionary alas URL POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
643290,1,good morning! the weather is rainy but still I'm going to the zoo today  hope to take a lot of pictures,good morning weather rainy still going zoo today hope take lot pictures POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
657799,1,i saw ate pao at the church this morning. she's really good at drums! i just cant compare myself.im dumbfounded.aha! ,saw ate pao church morning really good drums WEBSITE pare myselfim dumbfoundedaha POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
709223,0,Garden State Mall not a good idea!  http://myloc.me/4IcI,garden state mall not NEG_good NEG_idea URL POSITIVE NEGATIVE POSITIVE NEGATIVE
536793,0,"i want to devour an entire box of those little chocolate covered donuts, but i will be good ",want devour entire box little chocolate covered donuts good POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
711631,1,Its all good ,good POSITIVE POSITIVE
522417,1,Going to school has never been this good ,going school never good POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
81808,1,"@dirtysouth909 great set at mach1, thanks for coming down! the crowd was shit but the music was good  some pictures http://bit.ly/12a55i",MENTION great set mach thanks WEBSITE ing crowd shit music good pictures URL POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
499073,1,"@NiaBassett Oh... good for you!! That sounds like sooo much fun! And really relaxing and must be good weather! Go you, honey... ",MENTION oh good sounds like soo much fun really relaxing must good weather honey POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
147484,1,@kittychix Um...that's a good question. Why are you going through this whole unnecessary ordeal? ,MENTION um good question going whole unnecessary ordeal POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
579150,1,smiling eyes make me smile. good night ,smiling eyes make smile good night POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
332866,1,"@cfdj71 Yeah its hard work but she in one of the good ones, plus she hasn't a clue about football so thats good ",MENTION yeah hard work one good ones plus not NEG_clue NEG_about football thats good POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
616566,1,Getting a hair cut. Looks petty good if I say so myself. No sneak peaks until premiere ,getting hair cut laaughks petty good say not NEG_sneak NEG_peaks premiere POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
172092,1,@mosesadrien but to specialize in something doesn't it mean you have to be good at it... ,MENTION specialize something not NEG_it NEG_mean good POSITIVE NEGATIVE POSITIVE NEGATIVE
535466,1,@nny24 Yeah!!! ^^ I got good news... but not GREAT  I hope to tell you the great news tonight =D. And... I'm sooo motivated girl... ,MENTION yeah got good news not NEG_great NEG_hope tell great news tonight soo motivated girl POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
127677,1,@hishaamsiddiqi You take reaaaally good shots homie  I love em so much and I just saw the New Port Beach one.. That thing is kickin' !,MENTION take reaally good shots homie love em much saw new port beach one thing kickin POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
213563,0,"@mfowmes Ooh good chioce..i dnt have any though!!  May have a cheese, ham and onion relish toastie instead! What sort of PN is it?",MENTION good chioce dnt though may cheese ham onion relish toastie instead sort pn POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
517992,1,&quot;Cuz Iiiii loooooooove the way you say goodmorning  &quot; http://bit.ly/FLFMj,cuz laaughve way say goodmorning URL POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
734492,1,"Top of the morning everyone! Yes, we're trying on an Irish persona briefly  Are you lads and lasses having a good Monday so far? #fb",top morning everyone yes trying irish persona briefly lads lasses good monday far HASHTAG fb POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
427705,1,"Finished my degree :-D Now going for a picnic in the park, followed by Eskrima... life is good ",finished degree going picnic park followed eskrima life good POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
765326,1,"@mattgood hi Matt,Im from BC,living in Sydney Aus now for 6.5 yrs. listening some of ur songs and wanted to say hi - love ur work  miss it",MENTION hi mattim bcliving sydney aus yrs listening ur songs wanted say hi love ur work miss POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
139559,1,"Today is me and my girls two month day, feels like way fuckin longer, but the good longer, I have known her for two years ",today girls two month feels like way fuckin longer good longer known two years POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
561334,0,Home from a very long night.. Not doing too good either.. ,home long night not NEG_doing NEG_too good either POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
307638,0,"not feeling good at all, wish I still lived in corpus sometimes ",not NEG_feeling NEG_good wish still lived corpus sometimes NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
475436,1,@JonathanRKnight now thats what i like to hear  looking at cruise pics....good times hope to do it agian,MENTION thats like hear laaughking cruise pics good times hope agian POSITIVE POSITIVE POSITIVE POSITIVE
684107,1,@nondisbeliever That's one hell of a comment! But thanks for taking the time to write it - lots of good points ,MENTION one hell WEBSITE ment thanks taking time write lots good points POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
207550,0,@evo_terra re sound/lappy: I run the sound board at my local church. Don't think it'd look good if I had the lappy open there. ,MENTION soundlappy run sound board local church not NEG_think NEG_it would laaughk good lappy open POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
187226,0,@AllEyeszOnMe everyone is good... you know still in AZ... sucks i dont spend as much time w/them as i wish  so enjoy ur time w/ur fam now!,MENTION everyone good know still az sucks not NEG_spend NEG_as much time wthem wish enjoy ur time wur fam POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
